Event,Relation,Action
后续,triggers,采用网络、传真等方式书面报告
接到国家、省、市领导批示,triggers,办理情况也应及时向市专项应急指挥部办公室报告，由市专项应急指挥部办公室负责汇总，分别向市专项应急指挥部、市政府总值班室进行报告
道路交通事故发生后,triggers,事发地区（市）政府、市公安、交通运输、气象等单位立即启动相关预案进行应急响应
道路交通事故发生后,triggers,疏散现场周边无关人员，采取有效措施控制事态发展，组织开展应急处置工作，并及时向属地政府、上级政府及其有关部门报告
接报的区（市）政府、市政府有关部门,triggers,按照预案和有关规定，组织、协调、动员有关专业应急力量和人民群众进行先期处置
接报的区（市）政府、市政府有关部门,triggers,组织专家进行会商，及时对事件的性质、类别、危害程度、影响范围、防护措施、发展趋势等进行评估上报
接报的区（市）政府、市政府有关部门,triggers,采取有效措施控制事态发展
超出我市应对能力时,triggers,提请上级党委、政府或有关部门响应应对
对于敏感的、可能有次生或衍生危害性的道路交通事故或预警信息,triggers,加强监测预警，组织专家会商研判，按有关规定做好信息报告、发布和舆情应对
一般道路交通事故,triggers,由事发地县级政府启动应急响应，组织调动乡镇（街道）政府，以及区（市）综合、专业等应急救援队伍和资源进行先期处置
较大道路交通事故,triggers,由事发地地市级政府启动应急响应，组织调动乡镇（街道）政府，以及市综合、专业等应急救援队伍和资源进行协同处置
重大道路交通事故,triggers,由市专项应急指挥部办公室提出建议，报总指挥批准启动应急响应，组织调动区（市）政府，以及市综合、专业等应急救援队伍和资源进行先期处置
特别重大道路交通事故,triggers,由市专项应急指挥部提出建议，报市政府主要领导批准启动应急响应，组织调度全市应急救援队伍和资源进行协同处置
一般道路交通事故,triggers,区（市）政府分管领导或区（市）政府部门主要领导赶赴现场指挥协调处置
一般道路交通事故中的敏感事件、具有次生或衍生危害性的事件,triggers,区（市）政府主要领导或分管领导应赶赴现场指挥协调处置
一般道路交通事故中的敏感事件、具有次生或衍生危害性的事件,triggers,市专项应急指挥部副总指挥、有关成员单位分管领导应根据需要赶赴现场或到市专项应急指挥部进行协调处置
较大道路交通事故,triggers,区（市）政府主要领导或分管领导，市专项应急指挥部副总指挥、有关成员单位主要领导或分管领导应赶赴现场指挥协调处置
较大道路交通事故中的敏感事故、具有次生或衍生危害性的事故、人员伤亡和财产损失较多的事故等,triggers,区（市）政府主要领导，市专项应急指挥部总指挥、有关成员单位主要领导根据需要赶赴现场或到市专项应急指挥部指挥协调处置
重大道路交通事故,triggers,区（市）政府主要领导，市专项应急指挥部总指挥、有关成员单位主要领导赶赴现场指挥协调处置
重大道路交通事故,triggers,市政府主要领导赶赴现场或到市应急指挥中心指挥协调处置
特别重大道路交通事故,triggers,市委、市政府主要领导赶赴现场指挥协调处置
涉及我市两个或两个以上区（市）行政区域突发道路交通事故,triggers,由市专项应急指挥部指挥协调处置
重大及以上道路交通事故，国家、省成立应急指挥部或派出工作组后,triggers,在其指挥下开展处置工作
应急处置工作需要,triggers,市专项应急指挥部负责组建现场指挥部，视情成立若干工作组,并建立现场指挥部相关运行工作制度，分工协作有序开展现场处置和救援工作
综合协调组,triggers,负责综合协调、公文运转、会议组织、会议纪要、信息简报、综合文字，资料收集归档，抢险救援证件印制发放，处置信息调度、汇总、上报，与上级工作组的协调联络等工作
现场处置组,triggers,负责现场保护、现场勘查、调查取证、疏导交通和维护现场秩序
抢险救援组,triggers,组织协调事故发生地区（市）政府及相关部门进行现场救护和抢险救援
医疗救援组,triggers,负责组织医疗队伍对受伤人员进行医疗救治工作
专家组,triggers,根据各单位上报和现场收集掌握的信息，对事件进行评估研判，向市专项应急指挥部提出处置措施建议，视情向社会公众解答有关专业技术问题等工作
新闻宣传组,triggers,负责协调新闻媒体报道，视情组织新闻发布会,加强与媒体记者对接，做好网络舆情的收集、研判、应对及公众自救防护知识宣传等工作
涉外工作组,triggers,负责协助相关部门妥善处置涉及外国人伤亡的交通事故
善后工作组,triggers,负责伤亡人员及家属的接待、安抚、抚恤和善后处置工作
事故调查组,triggers,负责对道路交通事故进行调查
道路交通事故发生地区（市）政府和有关单位接到道路交通事故救援信息后,triggers,立即派出有关人员赶赴现场，按照预案和处置规程，协同配合，共同实施应急处置行动
现场施救,triggers,各应急救援队伍快速进行现场施救，全力控制事故态势，防止扩大
医疗救治人员到达现场之前,triggers,事先到达事故现场的应急救援力量应当按照救护操作规程，对伤员进行现场分类检伤，对伤情危重者开展现场急救
公安机关,triggers,积极协助医疗急救部门运送伤员，必要时可以征用事故现场的过往车辆
公安机关交通管理部门赶赴现场后,triggers,应立即采取有效措施分流车辆、疏导交通，保护现场痕迹物证，固定相关证据
消防救援队伍,triggers,负责破拆抢救受伤、受困人员，对事故车辆进行灭火，堵漏、稀释有害物质等施救工作
公安机关其他警力,triggers,负责做好现场治安秩序维护和人员疏散工作
车辆坠河等事故,triggers,事故发生地区（市）政府负责调集专业人员、工具进行营救、打捞
医疗救护,triggers,卫生健康部门负责组织开展对事故受伤人员的紧急医疗救护和现场疾病预防控制工作
应急救援人员的安全防护,triggers,参加现场应急救援的人员，必须加强个人安全防护
应急指挥部,triggers,负责组织采取各种现场安全防护措施，严格执行人员进出事故现场的管理程序
群众的安全防护,triggers,市专项应急指挥部根据事故具体情况，明确群众安全防护的必要措施，决定应急状态下群众疏散的范围、方式、程序并组织实施
群众的安全防护,triggers,协调卫生健康部门组织医疗防疫与疾病控制
事故管辖地公安机关,triggers,负责设置事故现场警戒，实施交通管制，疏散现场无关人员，防止事故扩大和蔓延
特殊类型事故处置,triggers,公安、消防救援、应急、交通运输、卫生健康、生态环境等部门按照职责进行现场处置，同时启动相关预案的应急响应
车辆坠河等事故引发重大火灾、危险化学品泄漏等特殊道路交通事故时,triggers,由青岛警备区协调防化部队支援处置严重危险化学品泄漏事故
现场施救完毕后,triggers,应及时清理现场，修复受损交通设施，恢复正常交通秩序
一时难以排除的隐患,triggers,应及时采取改道分流等措施恢复道路交通
道路交通事故进一步扩大，预计以我市现有应急资源难以有效处置，或道路交通事故造成直接或间接灾害巨大,triggers,由市专项应急指挥部提出建议，经市政府领导同意，向省、国家有关方面请求支援
道路交通事故发生后,triggers,市专项应急指挥部与周边地市相关业务主管部门建立应急联动机制，明确通信联络信息共享、队伍及资源调动程序等，确保道路交通事故发生后能够快速、有序、协同应对
道路交通事故发生后,triggers,市专项应急指挥部应根据处置需要，通过广播、电视、报纸、网站、户外显示屏、短信等向社会公众发布防范、应对提示，动员全社会力量协助做好救援处置工作
各项应急行动结束、应急工作实施完毕、事故影响消除后,triggers,由分级响应启动单位决定和宣布现场应急处置结束，各有关单位应及时补充应急所需物资和器材，重新回到应急准备状态
道路交通事故处置结束,triggers,区（市）政府、市政府有关部门要按规定及时调拨救助资金和物资，迅速做好环境污染消除工作
应急处置中的伤亡人员、工作人员，以及紧急调集、征用有关单位和个人的物资,triggers,依法依规给予抚恤、补助或补偿
道路交通事故,triggers,由公安机关交通管理部门和司法机关依法进行
伤亡人员较多、肇事车主和保险公司均无力承担相关善后费用,triggers,由道路交通事故社会救助基金按规定先行垫付
救助基金无力垫付,triggers,由事故发生地区（市）政府垫付
保险理赔,triggers,保险机构要依据法律法规和保险合同，按照救援优先、特事特办原则，在机动车交强险医疗费用赔偿限额内先行垫付相关费用，积极开展赔付工作
道路交通事故,triggers,市专项应急指挥部应及时组织有关部门对事故的起因、性质、影响、责任、经验教训等进行调查分析和总结评估，形成评估总结报告
重特大道路交通事故,triggers,市专项应急指挥部应对应急处置工作进行全面总结，并上报省政府及省有关部门
道路交通事故处置结束,triggers,区（市）政府和市政府有关部门要对受灾情况、重建能力及可利用资源全面评估，有针对性地制定灾后重建和恢复生产、生活计划，并组织实施
道路交通事故的信息发布,triggers,应当遵循依法、及时、准确、客观的原则
道路交通事故发生后,triggers,区（市）政府、市专项应急指挥部要在道路交通事故发生后视情向社会发布基本情况，随后发布初步核实情况、事故进展、政府应对措施和公众安全防范措施等，并根据处置情况做好后续发布工作
一般道路交通事故的信息,triggers,由事发地区（市）政府负责发布
较大及以上道路交通事故的信息,triggers,由市专项应急指挥部或在上级应急指挥部机构领导下统一发布
道路交通事故发生后,triggers,区（市）政府、市专项应急指挥部要组织做好网络和媒体的舆情应对，及时回应群众关切问题
实际需要,triggers,市、区（市）政府有关部门应当根据实际需要，建立专业应急救援队伍,加强对应急救援队伍专业和职业技能的培训，配备足够的防护装备和器材，提高抢险救援和安全防护能力，减少应急救援人员的人身伤害风险
通信与信息保障,triggers,市专项应急指挥部办公室协调有关部门，建立稳定、可靠、便捷、保密的通讯手段，明确处置道路交通事故参与部门、单位和有关人员的通讯联系方式，并建立备用方案和通讯录，确保处置行动能够快速、有效展开
道路交通事故现场施救及受伤人员的抢救治疗工作,triggers,市、区（市）政府应按照事权和支出责任等有关规定及时拨付资金
技术储备与保障,triggers,成立市道路交通事故应急专家组，明确联系方式，为应急救援决策提供支持
技术储备与保障,triggers,依托有关院校和科研机构，建立应急技术信息系统
技术储备与保障,triggers,组织开展道路交通事故应急处置、救援等技术研究，不断提高处置和救援工作水平
医疗卫生保障,triggers,事故发生地区（市）卫生健康部门要制定突发事件医疗卫生救援应急预案，组建相应的医疗卫生专业应急救援队伍，组织协调卫生应急药品、医疗设备和器械、防护用品等物资采购和筹备，确保医疗救援工作迅速、高效、有效开展
治安保障,triggers,事故管辖地区（市）公安部门必要时可以实施交通管制，对道路交通事故现场外围的交通路口实施定向、定时封锁，严格控制进出现场人员，避免造成人员伤亡或引起现场混乱
治安保障,triggers,指挥事故现场内人员的撤离，保障车辆顺利通行，指引应急救援车辆进入现场，及时疏通堵塞路段
治安保障,triggers,维护撤离区和人员安置区场所社会治安，加强撤离区内和各封锁路口附近重要目标和财产的安全保护
救援力量保障,triggers,市、区（市）政府要加大资金投入，为公安交警、消防救援、卫生健康等部门配备通讯器材、现场照明车、勘查车、吊车、清障车、急救指挥车、应急救援车等应急救援装备，切实提高道路交通事故应急救援能力
救援力量保障,triggers,积极引入社会救援力量参与应急救援工作，选择信誉好、装备精良、施救能力强的单位作为救援联动单位，一旦发生道路交通事故，能够迅速赶赴现场进行施救，及时恢复道路交通并救援受困人员
宣教培训,triggers,市政府有关部门、区（市）政府应利用新闻媒体、网站、报刊、举办专题培训班等多种形式，广泛开展道路交通事故应急知识的宣传、培训和教育活动
预案发布后,triggers,市专项应急指挥部办公室要对相关指挥员、应急救援队伍进行预案解读培训，使其熟悉应急职责、响应程序和处置措施，切实提高应急联动处置能力
应急演练,triggers,市专项应急指挥部办公室负责制定年度应急演练计划，围绕情景模拟，针对性编制演练方案、演练脚本，因地制宜组织开展桌面推演、实战演练，按规定做好演练量化指标评估
应急演练,triggers,按照规定时限进行道路交通事故演练，演练计划、演练方案、演练脚本、演练评估和演练音像资料要及时归档备查
本预案执行情况,triggers,市专项应急指挥部负责对本预案执行情况进行检查，督促有关部门和单位对存在的问题进行整改
应急处置工作中推诿扯皮、不作为，道路交通事故信息迟报、漏报、谎报、瞒报，现场处置中失职、渎职，信息发布不力，以及应急准备中对责任应尽未尽并造成严重后果等不履行或不当履行法定职责,triggers,由有关部门依法依规追究责任
本辖区道路交通事故突发事件应急预案,triggers,各区（市）政府参照本预案，结合实际情况，制定本辖区道路交通事故突发事件应急预案，报市专项应急指挥部办公室备案
应急处置和演练总结评估情况,triggers,市专项应急指挥部办公室按照有关规定，结合应急处置和演练总结评估情况，适时组织对本预案进行修订
